State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total,total-charging-stations,Charging_Station_Share (%),Chargers per 1k EVs,EV_per_Station,State Population (millions),State Area (km²),Urbanization Rate (%),EV-Friendly Policy Score,EV Registrations (in thousands),Electricity Rate (Rs/unit),Smart Cities Count
Andhra Pradesh,14162,55684,5144,460.9,199.0,18,2,3,1470,78160,627,20.35,8.699425,2102.869131,176.57,43395.33,29.93,8,213,4.85,10
Uttar Pradesh,70145,19221,8184,353.4,133.3,4,5,5,1131,127329,122,24.93,4.30213,3156.1196,177.23,199785.11,77.87,9,563,6.24,2
Delhi,34346,5591,6240,233.2,160.7,4,7,9,1068,287051,527,7.14,2.708452,507.858932,106.03,242583.92,45.51,3,431,4.32,3
Karnataka,47089,90531,2310,82.0,468.0,8,1,2,1343,228216,713,23.15,8.149584,843.588851,111.47,341642.81,87.02,4,466,3.52,7
Bihar,8929,20809,3022,210.7,444.3,12,1,7,596,79423,644,6.4,0.309468,825.095382,120.12,188641.88,45.9,9,352,4.56,4
Maharashtra,38288,72625,2511,185.2,471.0,6,8,9,1916,210516,966,3.52,8.34015,3113.756296,171.11,168680.41,34.17,5,904,6.5,16
Rajasthan,76614,94830,2122,495.5,174.5,9,8,3,174,244300,828,6.21,0.873663,3733.200627,205.47,290607.66,20.9,8,449,8.17,16
Tamil Nadu,62903,64109,3211,84.5,230.1,10,7,8,660,87874,170,1.23,2.393984,4429.984067,38.18,75751.57,31.43,10,720,8.23,9
Assam,34283,20178,2172,149.8,46.6,28,1,8,929,146926,597,7.4,2.445639,1426.408336,182.78,227027.73,67.82,8,327,6.44,7
West Bengal,29372,6695,5045,332.2,211.4,16,6,2,1662,218244,489,20.8,6.4664,1135.240129,205.2,316089.41,64.57,3,893,6.75,12
Haryana,55094,80969,7441,459.0,144.0,7,9,5,921,52034,136,15.99,9.857576,1235.690849,201.85,245193.88,70.56,7,857,3.57,12
Uttarakhand,71032,81064,3814,483.4,260.5,16,7,6,310,246347,214,3.28,8.275775,3694.395084,143.28,186237.01,47.43,1,19,3.8,13
Gujarat,10161,59554,6497,251.9,24.7,22,6,2,835,43328,247,22.88,3.052817,4729.484226,203.64,77998.62,37.88,3,205,6.06,1
Punjab,44981,43123,1737,404.5,246.8,9,4,0,733,127194,511,18.49,9.445385,2047.181894,170.22,63586.3,64.3,4,643,8.77,9
Kerala,2497,65388,1898,153.9,463.1,9,6,0,926,165135,785,18.6,1.257282,1694.411291,59.3,297082.61,52.53,8,28,6.59,13
Madhya Pradesh,70165,30667,1527,214.9,353.2,25,2,2,151,118826,624,15.83,8.851627,2144.324602,129.95,239422.93,51.06,8,285,7.22,15
Chhattisgarh,55994,90690,4906,188.5,483.8,21,1,2,325,254088,340,20.93,1.902373,3600.066589,147.48,79829.09,64.51,9,380,7.43,12
Jharkhand,72178,97563,5604,276.2,319.2,28,3,2,1431,20795,812,23.86,3.967288,3731.057776,155.8,85929.21,40.96,9,200,5.54,13
Odisha,27501,71281,1112,197.9,338.8,4,6,8,1222,130053,985,9.37,2.478007,4275.502344,81.97,295271.91,71.16,3,149,7.39,8
Telangana,32274,1117,459,336.6,119.0,25,5,3,1229,78649,58,17.16,8.705147,971.024298,17.94,303333.27,60.68,4,712,5.11,4
Andhra Pradesh,23605,61447,1063,207.6,210.1,3,1,1,740,296906,638,24.61,3.203249,861.903737,244.14,76982.05,89.42,1,915,3.47,2
Uttar Pradesh,27074,42997,3967,350.6,174.2,2,4,7,545,238484,702,16.78,3.66744,3336.563658,231.97,139213.36,54.83,8,67,7.82,8
Delhi,27264,99207,554,437.3,457.5,13,1,5,980,234829,363,1.41,6.74516,4633.352869,44.55,221604.72,86.85,1,134,7.79,1
Karnataka,19787,103298,2357,51.2,377.6,16,0,2,1714,271467,79,23.76,3.833587,2916.520531,64.13,234808.11,33.23,5,709,6.72,13
Bihar,61077,60994,7705,441.2,424.4,6,4,6,1904,240160,839,23.28,0.500245,2956.661814,196.49,283153.15,86.71,7,962,5.77,9
Maharashtra,15220,51096,7299,411.1,93.5,13,8,7,1262,55075,369,0.57,2.085551,85.995886,244.16,317118.06,56.02,8,295,7.64,2
Rajasthan,18950,62147,7306,49.3,209.5,24,2,8,1920,175370,944,9.39,7.947234,385.835502,182.65,62838.28,35.29,7,54,7.67,12
Tamil Nadu,74349,71621,9198,328.3,436.3,13,2,2,23,194231,180,3.27,1.231921,3971.698629,220.03,202172.23,78.03,10,585,6.66,19
Assam,12637,85798,7163,489.7,386.6,6,0,4,360,143159,996,15.35,0.706802,3740.476889,146.16,45256.32,45.67,1,329,5.88,7
West Bengal,30985,58591,8539,199.7,324.5,4,0,2,1162,29170,665,9.0,6.615474,4923.938778,62.54,125164.11,28.2,9,794,3.64,10
Haryana,21648,99393,4445,443.8,4.6,5,1,2,377,161547,678,7.26,8.650535,4592.612641,103.9,137059.67,77.76,3,374,7.64,3
Uttarakhand,7665,119190,3372,109.0,482.8,1,9,6,1939,269811,52,14.23,7.80811,4060.185133,104.15,314215.38,48.67,8,823,3.84,16
Gujarat,60056,78417,7806,39.2,123.1,0,4,0,1927,208015,831,6.1,5.688263,3238.458345,21.04,187858.78,89.14,4,223,8.77,9
Punjab,26428,26643,3071,139.2,268.5,24,0,9,651,117732,192,15.86,3.196817,2954.432304,217.93,294162.67,78.54,3,698,5.55,6
Kerala,9025,93674,4345,23.9,473.0,9,5,5,609,187040,185,16.67,9.413255,753.924984,115.39,139592.97,20.22,6,285,7.27,17
Madhya Pradesh,70543,108646,4925,254.2,377.1,16,7,3,936,168716,769,18.13,8.203804,3079.465364,133.01,165530.42,53.89,9,490,6.5,17
Chhattisgarh,57739,22537,2451,322.0,346.3,26,9,8,305,169808,126,21.75,3.129228,501.090997,209.36,32191.43,70.1,6,154,8.32,16
Jharkhand,23949,83576,8246,246.3,480.7,17,4,7,1029,227229,107,5.45,4.20615,2717.431085,161.81,267727.94,51.15,9,176,4.74,18
Odisha,69640,69117,7448,372.4,13.4,19,4,6,1657,55836,60,22.42,1.536339,898.728393,94.05,126735.62,34.88,10,431,4.14,5
Telangana,47343,64607,4310,4.3,415.3,16,8,4,941,48249,590,9.45,2.820782,466.022418,226.57,115407.58,52.08,9,367,6.98,2
Andhra Pradesh,6445,41817,4027,27.1,494.1,16,5,7,721,52467,569,3.02,0.956632,4022.907538,90.84,239443.29,35.15,4,238,7.92,18
Uttar Pradesh,10982,84002,6754,453.7,465.6,29,6,4,1356,45477,937,5.62,9.35318,4448.217966,16.65,290240.62,65.52,5,942,6.67,19
Delhi,39189,62405,5826,312.0,266.9,25,7,8,1665,84608,652,20.71,5.210532,4580.644014,85.15,254418.43,44.74,7,771,7.14,14
Karnataka,54370,28166,5324,323.4,416.3,0,5,5,640,276844,575,6.88,4.08058,1847.93929,31.42,139829.36,31.67,4,922,3.01,10
Bihar,8665,114259,4908,425.7,320.0,6,7,7,605,217600,555,17.44,5.057655,4570.410238,63.35,164449.62,74.28,1,916,8.26,17
Maharashtra,65973,119755,1960,235.3,140.6,16,7,3,1908,227244,87,5.85,1.876819,3858.424104,84.39,208431.82,67.86,10,201,6.19,10
Rajasthan,60949,101387,6905,489.0,253.5,11,6,6,213,276724,757,23.94,7.657093,4409.397292,200.62,118904.9,43.02,5,103,8.07,4
Tamil Nadu,76105,83254,2154,448.5,380.1,29,3,9,1367,119428,136,22.03,0.949512,1652.145281,68.38,293154.7,61.48,8,921,8.32,7
Assam,61289,88123,231,415.0,247.1,4,4,2,32,80809,155,8.74,8.985561,2801.511194,72.27,200286.88,62.69,8,138,5.82,4
West Bengal,14708,48247,7835,61.2,459.5,6,8,9,1510,192044,753,22.7,8.642672,2701.395467,146.56,87252.36,28.84,8,15,5.77,5
Haryana,65713,51885,5540,460.1,68.7,3,8,0,905,156387,797,9.47,9.244745,3275.433758,191.33,117830.21,48.29,6,972,8.3,3
Uttarakhand,42084,7632,8548,279.4,124.5,3,0,4,1422,271195,958,17.17,9.484694,1945.864885,6.59,193866.32,53.67,2,660,7.32,7
Gujarat,44583,31280,9449,321.7,377.5,27,9,9,101,187893,829,1.81,6.484667,2486.39037,100.59,233787.28,30.93,4,107,7.84,7
Punjab,59348,93606,9711,389.4,118.0,24,6,5,790,211161,264,11.25,0.450162,2867.558055,20.43,181586.76,34.41,5,293,4.65,19
Kerala,68445,110869,6548,227.3,304.4,28,8,8,1307,33405,978,20.04,9.160896,551.239614,183.51,264185.19,47.41,9,620,8.97,7
Madhya Pradesh,43040,108714,1122,112.3,111.3,28,3,1,907,42220,800,8.24,7.377077,3404.484317,176.96,205315.51,48.12,3,317,7.3,18
Chhattisgarh,55550,81356,4731,171.0,89.2,29,6,9,1434,48897,597,8.02,5.003317,602.356779,90.22,257250.95,61.38,3,986,4.45,14
Jharkhand,26437,6531,8118,378.3,475.5,2,4,0,1832,52488,298,9.46,9.586387,4674.419288,175.73,319086.97,22.34,8,979,8.88,9
Odisha,29626,36488,5672,13.1,55.7,6,8,4,150,200642,611,8.79,1.452077,3063.031773,74.5,81653.39,38.08,10,667,5.7,19
Telangana,56304,103727,7819,3.5,281.4,2,4,4,249,65110,671,20.71,6.056259,3968.955707,14.51,40284.0,50.11,7,249,3.2,7
Andhra Pradesh,33594,73595,9441,237.9,144.3,4,4,3,441,298436,804,24.09,5.805452,530.503324,73.87,133036.07,66.24,1,425,6.46,5
Uttar Pradesh,37293,80316,1811,75.5,237.8,8,3,9,114,102358,119,1.45,1.260049,1433.612226,50.95,104339.65,78.45,10,775,4.88,19
Delhi,26224,107140,7093,100.4,162.4,8,8,4,1006,195310,752,16.34,4.926522,4496.970503,38.83,339508.55,21.89,5,191,3.46,10
Karnataka,23020,74989,5490,226.9,124.1,20,6,3,1426,102672,822,9.9,5.538699,368.5487,127.27,106227.58,46.99,6,776,8.47,14
Bihar,74633,111928,8813,47.5,449.1,6,5,8,1182,108509,167,15.38,1.222201,642.276391,92.9,196911.86,81.2,8,440,3.61,4
Maharashtra,54729,102375,9990,130.4,491.2,29,6,7,1819,134515,126,21.68,3.025992,2767.993266,17.74,246452.99,28.69,1,956,5.31,5
Rajasthan,42678,18320,2363,375.3,114.0,0,9,5,894,59244,911,14.5,0.41951,1605.385587,7.98,183060.58,71.25,8,630,5.04,11
Tamil Nadu,42953,112332,5476,108.7,408.2,21,0,7,1432,128906,233,24.46,3.80168,2119.362675,130.02,40740.37,84.3,10,408,7.19,12
Assam,50271,56750,4492,457.4,445.9,10,8,4,843,203087,457,18.82,9.972825,3749.775133,185.61,251898.31,84.51,6,606,6.4,3
West Bengal,36487,16691,4257,486.6,471.2,10,9,7,1043,107792,135,7.11,3.211901,3486.079865,233.9,202900.75,71.18,2,166,7.73,11
Haryana,43916,119927,7871,1.2,234.0,20,8,8,1138,126134,597,12.6,1.789685,3560.607339,234.31,27057.5,49.78,7,891,4.9,12
Uttarakhand,9537,16127,3279,76.4,494.1,0,8,7,356,274344,527,17.52,1.477326,4657.869242,44.91,153618.69,55.12,1,230,5.49,18
Gujarat,34376,4891,2486,181.0,216.0,7,9,0,1842,183235,209,13.24,1.600471,4635.523774,70.31,242955.77,85.23,8,908,3.75,15
Punjab,37007,87337,8668,180.7,287.9,26,5,3,1752,148405,192,18.47,5.55878,4112.855682,91.38,280984.72,60.21,5,663,3.22,6
Kerala,36418,91873,1485,68.4,130.9,23,4,7,793,227189,722,8.64,1.158397,1985.545167,184.0,272068.77,33.45,8,494,4.15,17
Madhya Pradesh,74637,109002,1397,160.2,149.2,29,3,7,90,123824,925,17.72,1.861687,2104.656467,103.62,38198.37,56.07,2,905,8.69,11
Chhattisgarh,32769,55199,3148,469.4,395.3,24,0,0,1949,213172,470,15.68,1.826783,936.95987,79.33,267925.37,41.82,2,468,3.62,8
Jharkhand,27020,112178,2529,453.1,463.9,7,0,2,115,165611,114,5.85,9.082589,2514.370961,195.94,251771.08,82.68,7,565,7.4,17
Odisha,26232,44560,4513,386.4,108.4,28,7,9,1178,157825,20,24.33,0.534753,4627.903567,10.31,13582.48,47.89,9,194,5.15,12
Telangana,7287,109729,1816,97.2,259.1,26,9,3,1905,81762,415,22.46,3.613307,163.999447,15.46,317932.33,35.36,9,411,8.31,11
Andhra Pradesh,27420,79668,1145,356.8,194.4,2,9,8,1348,73196,905,19.6,0.139953,242.904925,236.46,225040.93,73.67,6,870,5.8,8
Uttar Pradesh,9112,43132,5257,261.8,87.4,25,2,3,640,181613,118,18.19,4.219458,2168.396482,119.6,241321.41,75.03,4,275,4.67,16
Delhi,59239,110538,3979,410.4,25.0,2,6,0,22,156828,267,14.17,4.152233,335.241345,189.36,179861.26,49.03,3,504,6.18,6
Karnataka,23528,86538,1458,416.2,249.2,13,9,9,1331,161519,216,3.51,4.896917,4346.847959,152.08,253461.92,58.08,10,275,6.84,13
Bihar,5985,39378,2445,402.9,479.1,13,5,7,1998,187300,162,20.83,2.887745,3900.01901,151.77,316799.91,54.47,8,848,4.38,8
Maharashtra,26208,55195,3104,97.5,261.9,4,8,3,1893,41410,864,23.43,3.442157,139.440129,129.16,164623.28,73.33,4,714,5.63,7
Rajasthan,48025,13850,4098,343.6,375.8,7,5,1,981,68233,534,21.01,5.277691,3530.703384,43.75,185252.72,33.3,4,898,6.76,3
Tamil Nadu,56488,31612,2302,384.0,19.3,6,3,0,1764,66786,720,13.36,1.008408,1137.793206,63.68,197214.35,76.77,6,184,4.9,3
Assam,60145,24994,7349,92.4,111.6,12,8,6,1290,290030,291,21.05,0.33347,4109.671538,80.0,210627.03,79.43,2,771,7.27,10
West Bengal,36882,35535,377,182.4,122.6,25,8,7,1921,294482,90,17.38,2.205219,4432.538667,181.96,172436.75,63.99,9,242,4.88,2
Haryana,29839,73079,7543,412.5,401.4,13,6,7,1612,237331,905,7.83,8.74604,702.234825,39.4,249494.45,89.05,3,860,4.23,12
Uttarakhand,70557,15855,8450,227.7,360.7,5,0,8,174,102515,60,8.5,3.886881,1400.084112,94.16,112467.47,41.95,10,114,8.41,4
Gujarat,14355,45646,9954,399.3,177.6,22,2,7,546,203190,342,17.37,1.074085,3329.978038,118.49,215499.76,81.09,9,168,6.63,16
Punjab,4033,47337,9599,142.8,135.1,20,8,5,1203,149455,639,3.91,0.367399,167.998837,78.19,129785.69,48.62,7,481,3.26,18
Kerala,27070,13767,2814,396.3,360.6,22,6,4,1259,18912,431,16.73,1.724574,1030.916499,192.67,330808.67,33.2,7,560,3.74,5
Madhya Pradesh,6638,90517,5368,95.8,66.7,2,5,8,53,117465,514,13.21,9.478283,1358.372778,94.16,70708.95,45.84,10,297,6.36,6
Chhattisgarh,57428,69476,7689,265.0,135.1,9,6,6,1438,213881,463,21.54,8.067132,2376.380615,104.22,27690.49,72.64,9,70,6.56,2
Jharkhand,33062,63213,8955,90.2,75.6,12,4,6,817,91759,981,3.95,4.871122,1045.935104,34.57,216527.94,54.47,7,379,4.5,14
Odisha,8030,13514,3066,86.4,114.2,20,1,6,1106,134110,462,5.39,6.565697,2697.626444,218.17,211922.06,64.73,2,724,8.67,17
Telangana,9191,101174,5040,418.5,426.7,27,7,7,404,201659,205,18.41,6.748495,206.391169,24.4,216851.85,65.24,1,691,8.3,7
Andhra Pradesh,74136,83346,9148,454.1,365.5,21,6,8,20,258399,884,22.28,6.052698,1492.370763,100.17,317460.33,63.6,10,560,5.44,7
Uttar Pradesh,70039,86060,1840,303.5,145.9,22,9,8,1854,186756,752,5.09,3.072561,1742.152276,20.0,226819.5,51.53,2,166,8.29,19
Delhi,66557,37418,6793,288.7,289.1,12,4,2,1403,151081,90,0.9,0.207282,4323.247222,92.37,80916.01,36.77,1,969,5.29,13
Karnataka,75036,74785,8235,6.8,229.4,16,2,5,416,28782,266,2.55,1.071592,3324.809298,107.23,170691.52,85.26,3,601,6.1,10
Bihar,46784,78041,7593,425.8,381.1,9,1,9,1097,194324,128,0.89,9.46356,1146.759094,205.26,62701.82,37.03,10,821,4.4,19
Maharashtra,43084,7899,5082,393.0,177.0,28,5,1,571,178891,925,24.34,8.330404,319.447649,200.66,170057.89,56.2,7,392,6.47,2
Rajasthan,46746,118002,4019,160.1,338.2,0,4,7,1858,264806,111,10.26,8.956371,4458.84615,196.99,254800.21,33.35,1,774,7.74,7
Tamil Nadu,71566,54037,9181,17.1,150.8,8,6,3,965,189058,392,23.95,1.061163,1869.49514,8.46,310725.82,20.91,1,319,6.89,3
Assam,40987,33113,4097,241.0,7.4,3,2,1,784,21731,857,3.12,1.558384,99.770462,40.44,342402.42,58.0,10,347,8.17,12
West Bengal,68987,39714,3690,76.3,69.8,0,6,3,117,261068,737,22.24,3.237315,3355.903252,171.33,118733.81,67.17,5,72,6.97,16
Haryana,8716,2325,3363,211.4,235.8,26,0,3,1934,203266,773,19.27,2.256273,4974.807551,111.32,331180.92,29.28,4,408,8.31,16
Uttarakhand,58996,69301,447,288.3,219.5,4,3,5,465,127164,410,6.89,3.125984,4609.876604,147.72,190867.03,49.83,3,636,4.89,10
Gujarat,37211,11044,2557,72.3,154.2,2,6,0,472,46567,166,16.23,6.9874,4806.696728,148.79,321325.61,78.78,10,743,7.11,4
Punjab,40249,20627,8969,226.2,188.3,17,3,7,1823,183886,581,2.31,9.377231,265.600508,165.38,342204.28,85.58,9,807,4.09,17
Kerala,62303,33187,1350,478.7,12.9,27,8,5,1089,24401,617,12.74,0.137808,3041.882374,93.61,197690.98,56.05,2,823,3.53,19
Madhya Pradesh,30802,82240,6893,45.5,130.3,28,0,1,1088,172361,887,10.12,3.257264,4597.04851,143.5,34703.33,61.3,1,486,3.5,10
Chhattisgarh,71500,62036,5705,212.7,179.8,19,5,7,466,221738,483,18.24,9.258331,3300.619756,212.82,166249.87,69.5,2,513,5.24,7
Jharkhand,17670,31656,5982,490.1,244.4,12,4,0,1493,44017,331,19.19,6.802893,3925.97939,232.97,71136.59,21.42,10,319,7.47,8
Odisha,22808,15293,2691,98.7,62.0,0,5,4,838,220692,618,2.49,6.963556,2078.382956,156.88,255146.71,22.66,7,440,3.07,6
Telangana,48189,110622,1157,252.7,380.3,9,0,1,757,20275,719,16.41,0.455965,1600.798922,12.46,290588.04,50.8,2,997,3.61,8
Andhra Pradesh,68573,109793,6493,59.6,269.4,28,0,7,1172,60065,372,8.89,7.964056,1850.702877,166.05,215519.78,88.07,1,249,8.57,11
Uttar Pradesh,70003,74549,4371,143.8,70.0,13,2,0,1459,270451,352,1.01,0.626246,3459.284894,43.14,234601.63,60.63,2,221,4.32,6
Delhi,6356,75790,5286,404.6,449.5,1,7,0,310,18081,451,13.33,6.387327,1693.585569,150.76,197720.34,73.64,7,398,5.36,18
Karnataka,78904,10913,5878,3.7,66.5,19,0,8,217,160610,782,2.23,4.894078,4784.181921,168.33,274434.32,51.31,4,364,4.73,16
Bihar,24812,77682,8252,126.3,343.4,5,6,8,1808,224589,436,19.36,3.409587,1151.844481,75.52,14993.74,67.32,2,100,3.79,15
Maharashtra,44717,18877,6507,9.6,417.3,15,4,3,1097,147204,918,2.89,6.674183,4024.662046,198.04,277445.86,55.7,10,376,4.11,5
Rajasthan,79141,63672,6815,68.6,414.3,24,9,2,140,209866,340,8.86,7.620801,1115.224772,234.61,10295.35,62.83,9,167,3.68,4
Tamil Nadu,14706,111397,9530,272.2,373.7,17,4,0,36,35392,342,19.83,4.751632,880.80504,244.38,38632.72,51.52,8,70,7.93,14
Assam,41688,8859,2143,434.6,94.5,20,6,8,1073,133036,144,19.29,2.979953,322.386187,219.91,324082.79,58.07,3,692,4.33,17
West Bengal,6432,27119,5295,372.5,247.8,27,3,2,1052,109725,76,13.51,6.913859,3596.698447,31.66,277740.96,47.87,4,351,6.71,18
Haryana,8956,16922,406,441.6,424.7,8,1,4,906,52454,748,24.63,9.342631,4286.765373,49.69,177072.17,58.72,5,968,5.56,6
Uttarakhand,14114,35656,3087,242.5,389.8,28,0,5,285,81585,648,14.49,8.862792,1436.951566,9.0,107629.05,71.95,8,163,5.4,11
Gujarat,18736,80455,4372,298.6,441.1,25,5,2,1352,279674,504,21.88,9.786714,1892.832165,34.19,53824.36,40.93,9,482,3.36,12
Punjab,13489,43509,1433,325.4,95.9,27,1,0,986,48965,982,9.25,2.308488,416.268649,91.81,283676.11,75.95,2,431,8.47,11
Kerala,77066,90614,5934,34.5,383.3,8,8,1,859,46809,841,19.78,0.803178,2891.950017,239.68,27605.08,20.58,10,389,3.1,10
Madhya Pradesh,53310,82419,9372,445.4,50.8,5,7,0,1297,119357,42,0.62,4.797987,2525.44136,210.19,72580.65,72.26,8,975,7.23,5
Chhattisgarh,26577,118906,4781,44.6,88.8,28,7,2,635,210856,616,19.79,8.780647,4691.847007,135.66,287231.59,44.6,6,947,8.42,8
Jharkhand,6662,6093,6404,38.9,446.9,0,0,2,333,181682,674,0.7,8.660626,3182.969027,69.15,121150.88,35.39,2,65,5.53,1
Odisha,59304,3031,8708,454.3,255.9,24,2,3,382,196679,217,11.29,0.144993,3216.175835,63.01,345167.24,27.85,5,544,7.98,8
Telangana,38906,46082,4485,361.8,187.0,21,9,2,1460,224849,395,22.01,7.807946,1158.052986,60.54,57222.5,39.03,9,335,4.21,17
Andhra Pradesh,28524,62399,8060,210.4,493.5,29,3,4,1427,44070,866,19.05,8.672128,2386.602956,245.63,285697.42,67.28,8,559,5.22,13
Uttar Pradesh,50927,104786,7821,119.1,201.1,21,7,5,752,296796,796,6.08,1.828457,1226.744848,31.35,313859.61,89.56,4,749,8.21,14
Delhi,39290,70819,4173,242.4,499.9,29,8,6,137,246479,757,17.49,1.657122,188.192066,93.98,187677.4,65.55,5,152,3.69,18
Karnataka,71032,18680,4523,420.6,234.2,11,0,1,1508,57671,684,6.91,2.08582,2713.973686,190.98,327177.52,82.1,2,150,4.77,19
Bihar,30464,105509,8252,335.5,466.0,6,3,2,1692,285624,335,22.81,6.664472,1750.814149,83.77,63668.08,42.89,5,215,3.35,14
Maharashtra,38966,81454,8161,224.1,22.6,19,5,8,420,227794,299,4.09,7.995669,987.03292,203.23,338683.58,20.71,8,359,4.04,4
Rajasthan,61764,50795,4304,61.7,75.8,27,0,7,1024,241540,45,7.85,3.652316,521.505437,234.44,65234.4,36.23,10,145,3.28,3
Tamil Nadu,73219,35204,700,145.7,185.3,14,0,4,1533,143598,555,17.76,2.179319,1394.953807,19.91,307875.64,43.92,3,321,6.44,5
Assam,13909,52699,6237,286.5,20.9,12,9,9,437,124696,516,14.13,7.861786,4452.646283,76.16,154466.84,62.16,1,112,5.36,8
West Bengal,15968,43533,801,375.6,498.1,8,8,1,1818,119570,950,13.92,6.488173,3296.315481,112.77,157900.0,57.87,8,283,4.25,4
Haryana,60674,2446,5726,286.2,386.5,25,7,4,1115,27892,414,12.65,2.991693,507.41877,60.07,36011.33,66.52,3,268,7.13,9
Uttarakhand,73252,100515,8662,384.2,443.1,20,7,7,1856,292715,221,8.26,2.414545,913.980891,189.65,325937.11,43.73,5,692,7.41,1
Gujarat,27817,16381,9238,49.0,153.9,17,0,8,348,138806,609,6.69,1.546093,583.488453,156.34,280868.5,42.31,9,638,8.02,8
Punjab,8388,34748,3464,479.9,469.9,21,1,6,657,270774,415,9.49,3.844708,2702.656138,176.93,214943.07,35.51,7,594,5.99,13
Kerala,29885,89536,9687,443.1,216.1,8,2,3,652,230661,598,11.85,1.95612,4325.96266,5.44,320729.51,42.65,8,258,3.92,6
Madhya Pradesh,30652,95946,6080,136.2,406.1,15,5,2,645,199527,616,4.71,8.446569,740.109066,115.72,314001.73,83.44,1,759,7.67,1
Chhattisgarh,77073,79533,9296,253.2,215.2,19,4,9,1657,165639,445,23.25,8.581133,3908.931975,31.9,201561.76,79.27,8,246,5.22,8
Jharkhand,79228,78604,8054,93.0,239.7,5,8,9,1524,125133,661,20.22,3.312972,3774.938396,204.68,240550.75,72.37,6,863,6.84,18
Odisha,72527,70841,9952,267.1,215.5,2,0,1,1533,169709,696,13.31,5.69276,1304.344742,22.36,76696.01,47.57,6,327,7.27,6
Telangana,53964,100492,821,473.7,217.9,4,7,7,1224,286827,656,4.05,7.961837,4951.552904,218.91,11267.08,80.88,8,608,8.27,4
Andhra Pradesh,67271,37780,5991,264.6,368.0,22,5,0,958,126372,630,24.39,3.033797,4863.829437,164.53,65075.21,29.51,4,209,5.3,16
Uttar Pradesh,32578,2272,673,273.9,455.9,0,3,7,1881,62626,345,15.4,1.256245,4613.260919,192.74,202248.56,72.94,10,167,3.31,4
Delhi,8305,79056,1898,336.0,328.3,14,6,4,1215,267209,104,5.75,1.303019,1991.497591,73.08,331647.3,87.9,2,710,4.34,4
Karnataka,79616,94906,8279,59.9,286.0,17,0,3,247,54396,723,18.27,6.729603,2076.066962,106.99,48395.35,87.5,3,780,6.32,4
Bihar,69973,69998,6052,109.2,380.3,16,3,2,971,47535,567,23.08,0.362028,1716.978552,45.44,261004.32,86.55,2,139,6.76,6
Maharashtra,77432,45446,4449,469.1,471.4,0,3,9,680,42140,214,13.37,6.480965,1235.538139,60.51,198386.18,81.7,7,646,4.11,10
Rajasthan,20136,54379,7290,380.1,462.6,12,5,2,918,203205,369,19.7,5.771366,2595.837417,171.41,208141.29,54.38,2,246,8.29,4
Tamil Nadu,61603,109974,7246,324.8,474.6,9,9,4,1886,221904,142,8.43,5.924069,415.027893,161.74,230067.46,53.22,3,513,3.45,16
Assam,59197,45542,5469,255.3,280.0,17,1,9,1625,120523,885,19.72,2.070242,2666.854272,242.43,257732.72,41.32,8,179,4.1,8
West Bengal,55400,27748,7093,25.1,470.0,10,9,9,1448,223674,813,6.55,6.557798,4458.31501,128.98,160435.16,73.83,9,426,4.8,1
Haryana,59229,46418,392,345.0,485.1,26,7,8,825,152828,648,12.66,5.945987,175.137098,66.0,214131.31,26.54,9,167,4.07,7
Uttarakhand,75919,3441,1123,58.0,424.4,0,4,2,1781,104950,927,19.69,3.674729,1012.735827,43.35,249057.65,64.46,9,696,8.31,1
Gujarat,62028,57786,4562,168.4,143.1,27,9,3,593,270264,883,7.17,8.467228,1278.995682,96.29,238500.57,26.11,9,791,8.26,2
Punjab,6953,15615,7381,140.3,410.9,9,1,9,223,107120,610,12.09,2.854676,2441.935131,18.01,312647.94,69.54,1,39,7.88,5
Kerala,48387,42957,7413,427.6,371.1,13,1,9,1618,237342,358,10.47,5.27217,1194.996899,111.65,142733.82,46.52,7,850,3.66,17
Madhya Pradesh,69223,24675,6057,204.1,87.5,24,1,7,1408,219764,584,15.69,7.460502,3000.801294,44.14,36483.27,35.85,4,942,8.2,11
Chhattisgarh,18992,30373,2092,188.9,188.9,17,8,1,1678,298396,642,5.35,0.822023,779.685831,132.66,241330.47,29.49,7,421,8.87,3
Jharkhand,14004,70078,8223,66.7,340.3,15,0,2,1661,160107,435,23.26,6.524336,4690.92219,189.33,207660.96,35.15,2,832,7.06,2
Odisha,5663,90340,4171,259.4,433.2,3,1,3,1735,158578,682,21.61,4.388462,4759.454531,192.49,124046.2,28.9,5,114,6.67,10
Telangana,21057,102122,1932,160.5,230.7,17,1,9,1874,193269,380,3.44,7.058844,301.791687,135.17,329515.73,20.47,1,230,7.97,17
Andhra Pradesh,4172,117960,5213,382.9,390.7,6,7,4,1934,117494,583,22.99,9.378668,831.763266,232.89,148090.69,49.71,5,635,5.77,4
Uttar Pradesh,61858,100487,7452,324.8,99.9,28,4,8,1736,192398,606,8.69,5.778667,3833.4337,213.45,339305.48,85.95,8,248,3.42,13
Delhi,25002,96553,3945,242.0,171.3,12,5,2,1347,201965,406,20.71,0.395822,3470.641918,98.11,161365.06,24.14,6,648,7.72,5
Karnataka,7471,69865,7324,211.3,160.2,0,3,0,1214,84576,51,10.63,0.634917,626.469452,125.64,26066.04,37.19,3,613,8.54,5
